id,lang,created_at,source,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_location,user_followers_count,user_friends_count,"user_time_zone,","user_statuses_count,","user_lang,","place_full_name,","place_country_code,","geo_x,",geo_y
495948307219226624,in,Sun Aug 03 15:04:25 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,219502684,"ÜT: 3.532038,98.689162",25108,613,Jakarta,8415,en,"Amphoe Sai Yok, Kanchanaburi",TH,14.11357867,99.23189597
495947581193977857,de,Sun Aug 03 15:01:32 +0000 2014,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,437074544,"",138,213,,12151,en,,,,
495945902277017601,en,Sun Aug 03 14:54:51 +0000 2014,"<a href=""http://twitter.com/tweeteye_dev"" rel=""nofollow"">Tweet Eye</a>",,,,2528090664,"",27,10,,8105,en,,,,
495945400231395329,en,Sun Aug 03 14:52:52 +0000 2014,"<a href=""http://twitter.com/tweeteye_dev"" rel=""nofollow"">Tweet Eye</a>",,,,2528090664,"",27,10,,8105,en,,,,
495943543756554241,en,Sun Aug 03 14:45:29 +0000 2014,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",,,,125411604,Brighton ,223,284,London,610,en,,,,
495943181792722944,fr,Sun Aug 03 14:44:03 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,1020497634,Nantes,40,59,,1051,fr,,,,
495942921749667840,en,Sun Aug 03 14:43:01 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,474491988,"",363,1648,Central Time (US & Canada),2749,en,,,,
495940490491990016,en,Sun Aug 03 14:33:21 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,2200300758,"",201,925,,253,en,,,,
495940364608364544,en,Sun Aug 03 14:32:51 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,354013669,Basingstoke and Colchester,229,391,Amsterdam,8759,en,,,,
495940242352771072,en,Sun Aug 03 14:32:22 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,633672235,Pretoria,269,266,,719,en,,,,
495940171448467456,en,Sun Aug 03 14:32:05 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,495153055,Nottingham,80,404,,382,en,Carlton,GB,52.97209167,-1.10412598
495939746997100546,de,Sun Aug 03 14:30:24 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,87391494,UK,83,294,London,2122,en,"Amphoe Kathu, Phuket",TH,7.8960613,98.299277
495939587793907712,en,Sun Aug 03 14:29:46 +0000 2014,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,59262564,"T for Texas, T for Tennessee",1803,516,Central Time (US & Canada),15035,en,,,,
495939546581041152,en,Sun Aug 03 14:29:36 +0000 2014,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,812146686,DamoCarroll,1055532643,"",29,139,,288,en,,,,
495939466431692800,en,Sun Aug 03 14:29:17 +0000 2014,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,1333097460,"Calgary,Alberta",117,179,,398,en,,,,
495939228522807296,en,Sun Aug 03 14:28:20 +0000 2014,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>",,,,819643836,"",17604,18318,,162345,en,,,,
495939130325757952,en,Sun Aug 03 14:27:57 +0000 2014,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,589866784,"Catalunya, Barcelona",165,401,Athens,4234,ca,,,,
495938244144807937,es,Sun Aug 03 14:24:26 +0000 2014,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,1528370744,Madrid,72,208,Madrid,4603,es,,,,
495937862710222849,en,Sun Aug 03 14:22:55 +0000 2014,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,59262564,"T for Texas, T for Tennessee",1803,516,Central Time (US & Canada),15035,en,,,,
495936724791357441,en,Sun Aug 03 14:18:23 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,2299904473,18 y/o - Norrland,126,42,Amsterdam,1694,en,,,,
495935944084951040,en,Sun Aug 03 14:15:17 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,257452434,"",27,21,,58,en,,,,
495935733429858304,en,Sun Aug 03 14:14:27 +0000 2014,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",,,,1205976686,"West Yorkshire, uk",911,810,,8363,en,,,,
495935418438012930,en,Sun Aug 03 14:13:12 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,383706311,Cape Town ,146,650,Pretoria,2243,en,Cape Town,ZA,-33.97959193,18.4651353
495935324351397888,en,Sun Aug 03 14:12:50 +0000 2014,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,1655114456,FRANCE,383,541,Athens,10761,fr,,,,
495935269552816128,en,Sun Aug 03 14:12:36 +0000 2014,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",,,,52742786,UK,20258,967,London,15050,en,,,,
495935187406966785,it,Sun Aug 03 14:12:17 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,248262161,"Prato, Tuscany, Italy",104,266,Hawaii,607,en,,,,
495934898419814400,in,Sun Aug 03 14:11:08 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,2541149922,"",31,57,,70,en,,,,
495933851278245888,en,Sun Aug 03 14:06:58 +0000 2014,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",,,,453988770,"",131,133,,412,en,,,,
495933693697851392,ja,Sun Aug 03 14:06:21 +0000 2014,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",,,,962275308,シュテルンジルト,42,38,,2663,ja,,,,
495932494311858176,en,Sun Aug 03 14:01:35 +0000 2014,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,2478836629,"",8,43,Central Time (US & Canada),323,en,,,,
495931894278938625,en,Sun Aug 03 13:59:12 +0000 2014,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,271332164,"",81,111,Amsterdam,1216,en,,,,
495931792902586368,en,Sun Aug 03 13:58:48 +0000 2014,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,2366093862,Queretaro,309,76,Eastern Time (US & Canada),34095,es,,,,
495931735868469248,it,Sun Aug 03 13:58:34 +0000 2014,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",,,,95006925,Udine / Trieste,168,283,Rome,2532,it,,,,
495931716885053440,en,Sun Aug 03 13:58:29 +0000 2014,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,2357673708,Queretaro,304,70,Eastern Time (US & Canada),34048,es,,,,
495931711138844672,en,Sun Aug 03 13:58:28 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,90432940,Florence upper east side,118,196,Athens,1515,en,"Florence, Florence",IT,43.77046944,11.27388826
495931669736853504,en,Sun Aug 03 13:58:18 +0000 2014,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,2357435822,Queretaro,338,69,Eastern Time (US & Canada),33469,es,,,,
495931663730634752,en,Sun Aug 03 13:58:17 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,135014334,"Prince George, B.C, Canada",235,224,Pacific Time (US & Canada),543,en,,,,
495931624560005121,en,Sun Aug 03 13:58:07 +0000 2014,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,2363381924,Queretaro,332,81,Eastern Time (US & Canada),33841,es,,,,
495931608835555328,en,Sun Aug 03 13:58:04 +0000 2014,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,2359244964,Queretaro,326,85,Eastern Time (US & Canada),34069,es,,,,
495931383186223104,sv,Sun Aug 03 13:57:10 +0000 2014,"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>",,,,215072759,Earth ,272,236,Stockholm,58120,en,,,,
495931371563798529,sv,Sun Aug 03 13:57:07 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,215072759,Earth ,272,236,Stockholm,58120,en,Norrköping,SE,58.66288475,16.46335494
495931195797307393,en,Sun Aug 03 13:56:25 +0000 2014,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,2366500754,Queretaro,294,79,Eastern Time (US & Canada),33315,es,,,,
495931178147672064,en,Sun Aug 03 13:56:21 +0000 2014,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,2369139608,Queretaro,330,69,Eastern Time (US & Canada),33929,es,,,,
495930969614864384,en,Sun Aug 03 13:55:31 +0000 2014,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,,,208628279,"",467,379,Casablanca,2062,en,,,,
495930797367758849,en,Sun Aug 03 13:54:50 +0000 2014,"<a href=""http://twitter.com/tweeteye_dev"" rel=""nofollow"">Tweet Eye</a>",,,,2528090664,"",27,10,,8105,en,,,,
